Local time,Ask,Bid,AskVolume,BidVolume
12.04.2018 09:31:15.584 GMT-0400,173.253,173.187,120,670
12.04.2018 09:31:15.701 GMT-0400,173.253,173.197,120,150
12.04.2018 09:31:16.589 GMT-0400,173.252,173.198,120,150
12.04.2018 09:31:16.969 GMT-0400,173.253,173.217,120,910
12.04.2018 09:31:17.169 GMT-0400,173.263,173.218,120,7499.9998
12.04.2018 09:31:17.464 GMT-0400,173.26700000000002,173.238,62,370
12.04.2018 09:31:17.972 GMT-0400,173.30200000000002,173.238,120,450
12.04.2018 09:31:18.295 GMT-0400,173.292,173.238,120,450
12.04.2018 09:31:18.633 GMT-0400,173.292,173.248,120,150
12.04.2018 09:31:18.683 GMT-0400,173.30200000000002,173.248,120,150
12.04.2018 09:31:19.276 GMT-0400,173.303,173.247,50,150
12.04.2018 09:31:19.588 GMT-0400,173.30200000000002,173.278,120,75
12.04.2018 09:31:20.102 GMT-0400,173.303,173.27700000000002,120,1010
12.04.2018 09:31:20.246 GMT-0400,173.323,173.268,9999.9998,7499.9998
12.04.2018 09:31:20.297 GMT-0400,173.262,173.238,120,370
12.04.2018 09:31:20.906 GMT-0400,173.282,173.23700000000002,62,370
12.04.2018 09:31:21.035 GMT-0400,173.262,173.231,120,7499.9998
12.04.2018 09:31:21.256 GMT-0400,173.253,173.217,120,820
12.04.2018 09:31:22.034 GMT-0400,173.252,173.218,120,900
12.04.2018 09:31:22.209 GMT-0400,173.232,173.208,100,76
12.04.2018 09:31:22.264 GMT-0400,173.243,173.208,62,1
12.04.2018 09:31:22.314 GMT-0400,173.21200000000002,173.188,100,10200.0004
12.04.2018 09:31:22.364 GMT-0400,173.21900000000002,173.188,62,7499.9998
12.04.2018 09:31:22.868 GMT-0400,173.21900000000002,173.198,62,670
12.04.2018 09:31:22.918 GMT-0400,173.21900000000002,173.188,62,10200.0004
12.04.2018 09:31:23.319 GMT-0400,173.232,173.178,120,1350
12.04.2018 09:31:23.872 GMT-0400,173.233,173.17700000000002,120,1050
12.04.2018 09:31:25.599 GMT-0400,173.232,173.188,120,75
12.04.2018 09:31:26.528 GMT-0400,173.222,173.178,120,1050
12.04.2018 09:31:27.301 GMT-0400,173.222,173.188,120,75
12.04.2018 09:31:27.410 GMT-0400,173.222,173.178,120,1050
12.04.2018 09:31:27.461 GMT-0400,173.202,173.168,120,7499.9998
12.04.2018 09:31:27.571 GMT-0400,173.183,173.137,120,750
12.04.2018 09:31:28.395 GMT-0400,173.18200000000002,173.138,100,75
12.04.2018 09:31:28.446 GMT-0400,173.162,173.108,120,370
12.04.2018 09:31:28.603 GMT-0400,173.162,173.118,100,150
12.04.2018 09:31:29.191 GMT-0400,173.16299999999998,173.11700000000002,120,150
12.04.2018 09:31:29.456 GMT-0400,173.18200000000002,173.118,120,150
12.04.2018 09:31:29.842 GMT-0400,173.173,173.11700000000002,120,150
12.04.2018 09:31:30.247 GMT-0400,173.162,173.118,120,75
12.04.2018 09:31:30.298 GMT-0400,173.173,173.11700000000002,120,75
12.04.2018 09:31:30.660 GMT-0400,173.16299999999998,173.107,120,410
12.04.2018 09:31:31.407 GMT-0400,173.16299999999998,173.11700000000002,120,75
12.04.2018 09:31:32.552 GMT-0400,173.172,173.118,10700.0005,150
12.04.2018 09:31:33.304 GMT-0400,173.172,173.11700000000002,62,220
12.04.2018 09:31:33.682 GMT-0400,173.106,173.08900000000003,120,7499.9998
12.04.2018 09:31:33.746 GMT-0400,173.11200000000002,173.09799999999998,100,75
12.04.2018 09:31:33.797 GMT-0400,173.123,173.08900000000003,120,7499.9998
12.04.2018 09:31:34.160 GMT-0400,173.123,173.107,120,75
12.04.2018 09:31:34.753 GMT-0400,173.123,173.088,120,7499.9998
12.04.2018 09:31:35.472 GMT-0400,173.122,173.088,120,750
12.04.2018 09:31:35.540 GMT-0400,173.132,173.09799999999998,120,7
12.04.2018 09:31:35.591 GMT-0400,173.132,173.088,120,750
12.04.2018 09:31:36.271 GMT-0400,173.123,173.08700000000002,120,750
12.04.2018 09:31:36.670 GMT-0400,173.09799999999998,173.078,120,150
12.04.2018 09:31:36.721 GMT-0400,173.092,173.06799999999998,120,750
12.04.2018 09:31:37.597 GMT-0400,173.093,173.077,120,75
12.04.2018 09:31:37.802 GMT-0400,173.11200000000002,173.078,120,220
12.04.2018 09:31:38.086 GMT-0400,173.102,173.078,100,75
12.04.2018 09:31:38.138 GMT-0400,173.11200000000002,173.078,120,75
12.04.2018 09:31:38.469 GMT-0400,173.123,173.077,120,10099.9996
12.04.2018 09:31:38.898 GMT-0400,173.11200000000002,173.078,120,75
12.04.2018 09:31:38.992 GMT-0400,173.122,173.078,120,75
12.04.2018 09:31:39.495 GMT-0400,173.113,173.078,62,75
12.04.2018 09:31:39.915 GMT-0400,173.092,173.078,50,75
12.04.2018 09:31:40.340 GMT-0400,173.102,173.078,62,160
12.04.2018 09:31:40.484 GMT-0400,173.092,173.06900000000002,100,7499.9998
12.04.2018 09:31:41.087 GMT-0400,173.092,173.06799999999998,100,750
12.04.2018 09:31:41.200 GMT-0400,173.083,173.05700000000002,10,110
12.04.2018 09:31:41.252 GMT-0400,173.093,173.05200000000002,120,7499.9998
12.04.2018 09:31:41.389 GMT-0400,173.08200000000002,173.05200000000002,100,7499.9998
12.04.2018 09:31:41.851 GMT-0400,173.08200000000002,173.058,120,75
